Latitude,Longitude,Country,PowerPlant Site
69.709579,170.30625,Russia,True
69.709579,170.30625,Russia,True
39.807,-5.698,Spain,True
39.807,-5.698,Spain,True
-23.008,-44.457,Brazil,True
-23.008,-44.457,Brazil,True
35.31,-93.23,United States,True
35.31,-93.229,United States,True
40.182,44.147,Armenia,True
41.202,0.571,Spain,True
41.202,0.571,Spain,True
-33.967,-59.209,Argentina,True
-33.967,-59.209,Argentina,True
52.092,47.952,Russia,True
52.092,47.952,Russia,True
52.092,47.952,Russia,True
52.092,47.952,Russia,True
23.952748,52.193298,United Arab Emirates,True
23.952748,52.193298,United Arab Emirates,True
23.952748,52.203298,United Arab Emirates,True
40.624,-80.432,United States,True
40.624,-80.432,United States,True
54.766667,26.116667,Belarus,True
54.766667,26.116667,Belarus,True
47.511,2.871,France,True
47.511,2.871,France,True
56.842,61.321,Russia,True
56.842,61.321,Russia,True
47.552,8.229,Switzerland,True
47.552,8.229,Switzerland,True
68.059,166.492,Russia,True
68.059,166.492,Russia,True
68.059,166.492,Russia,True
45.256,-0.691,France,True
45.256,-0.691,France,True
45.256,-0.691,France,True
45.256,-0.691,France,True
48.494,17.687,Slovakia,True
48.494,17.687,Slovakia,True
51.431,3.719,Netherlands,True
41.247,-88.23,United States,True
41.247,-88.23,United States,True
34.704,-87.119,United States,True
34.704,-87.119,United States,True
34.704,-87.119,United States,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
44.341,-81.572,Canada,True
33.958,-78.007,United States,True
33.958,-78.007,United States,True
45.796,5.268,France,True
45.798,5.268,France,True
45.8,5.267,France,True
45.8,5.267,France,True
28.831,50.887,Iran,True
42.074,-89.277,United States,True
42.074,-89.277,United States,True
38.763,-91.781,United States,True
38.435,-76.439,United States,True
38.435,-76.439,United States,True
35.053,-81.071,United States,True
35.053,-81.071,United States,True
49.416,6.217,France,True
49.416,6.217,France,True
49.416,6.217,France,True
49.416,6.217,France,True
39.739,116.03,China,True
44.322,28.061,Romania,True
44.322,28.061,Romania,True
19.46075,108.899917,China,True
19.46075,108.899917,China,True
32.392,71.463,Pakistan,True
32.392,71.463,Pakistan,True
32.392,71.465,Pakistan,True
32.391944,71.461667,Pakistan,True
47.232,0.167,France,True
47.232,0.167,France,True
47.232,0.167,France,True
47.232,0.167,France,True
50.086,4.792,France,True
50.086,4.792,France,True
46.457,0.654,France,True
46.457,0.654,France,True
40.172,-88.834,United States,True
39.216,-1.051,Spain,True
46.471,-119.333,United States,True
32.301,-97.787,United States,True
32.301,-97.787,United States,True
40.361,-95.643,United States,True
44.634,4.757,France,True
44.634,4.757,France,True
44.634,4.757,France,True
44.634,4.757,France,True
47.732,2.513,France,True
47.732,2.513,France,True
47.732,2.513,France,True
47.732,2.513,France,True
43.867,-78.724,Canada,True
43.867,-78.724,Canada,True
43.867,-78.724,Canada,True
43.867,-78.724,Canada,True
41.597,-83.092,United States,True
22.599,114.544,China,True
22.599,114.544,China,True
35.212,-120.854,United States,True
35.212,-120.854,United States,True
51.323,4.259,Belgium,True
51.323,4.259,Belgium,True
51.323,4.259,Belgium,True
41.975,-86.564,United States,True
41.975,-86.564,United States,True
41.353,-88.349,United States,True
41.353,-88.349,United States,True
49.089,16.149,Czechia,True
49.089,16.149,Czechia,True
49.089,16.149,Czechia,True
49.089,16.149,Czechia,True
-32.232,-64.442,Argentina,True
41.96,-83.257,United States,True
21.6,108.3,China,True
21.6,108.3,China,True
30.416,120.951,China,True
30.416,120.951,China,True
31.223,-85.115,United States,True
31.223,-85.115,United States,True
43.521,-76.403,United States,True
49.537,-1.881,France,True
49.537,-1.881,France,True
60.405,18.168,Sweden,True
60.405,18.168,Sweden,True
60.405,18.168,Sweden,True
25.443,119.453,China,True
25.443,119.453,China,True
25.720278,119.383889,China,True
25.720278,119.383889,China,True
25.720278,119.383889,China,True
25.720278,119.383889,China,True
33.518,129.837,Japan,True
33.518,129.837,Japan,True
47.366,7.969,Switzerland,True
44.105,0.845,France,True
44.105,0.845,France,True
32.007,-91.045,United States,True
51.014,2.138,France,True
51.014,2.138,France,True
51.014,2.138,France,True
51.014,2.138,France,True
51.014,2.138,France,True
51.014,2.138,France,True
34.402,-80.158,United States,True
36.704,121.382,China,True
36.704,121.382,China,True
35.405,126.41,South Korea,True
35.405,126.41,South Korea,True
